mes;TSM Niño 1+2;TSM Niño 3;TSM Niño 3.4;TSM Niño 4;TSM CBM;TSM TNA;TSM TSA
1;24.5;25.6;26.49;26.96;19.41;24.87;25.58
2;26.05;26.32;26.67;26.98;20.04;24.3;26.48
3;26.49;27.12;27.18;27.32;19.58;24.25;27.03
4;25.56;27.53;27.77;27.86;17.84;24.57;26.93
5;24.49;27.15;27.84;28.11;15.85;25.14;26.16
6;23.13;26.58;27.66;28.1;13.81;25.77;24.92
7;21.85;25.78;27.24;27.83;12.43;26.34;23.75
8;20.92;25.11;26.84;27.52;12.1;26.94;23.03
9;20.68;24.91;26.7;27.48;12.37;27.42;22.93
10;20.99;25.0;26.7;27.49;13.59;27.52;23.28
11;21.72;25.11;26.76;27.5;15.33;26.89;23.87
12;22.87;25.18;26.58;27.21;17.43;25.88;24.65
