mes;TSM Niño 1+2;TSM Niño 3;TSM Niño 3.4;TSM Niño 4;TSM CBM;TSM TNA;TSM TSA
1;24.32;27.39;26.48;27.46;19.84;24.68;25.58
2;25.87;27.23;26.67;27.76;20.42;24.13;26.56
3;26.2;27.16;27.18;28.21;20.05;24.11;27.1
4;25.05;27.3;27.76;28.51;18.11;24.41;26.98
5;23.84;27.5;27.84;28.25;15.89;24.96;26.14
6;22.55;27.49;27.64;27.57;13.77;25.72;24.83
7;21.47;27.27;27.22;26.92;12.39;26.31;23.65
8;20.58;27.15;26.81;26.61;12.06;26.88;22.97
9;20.3;27.17;26.71;26.74;12.39;27.34;22.93
10;20.77;27.25;26.68;27.05;13.83;27.4;23.29
11;21.52;27.4;26.64;27.3;15.66;26.81;23.91
12;22.7;27.49;26.57;27.38;17.91;25.76;24.68
