data;TSM Niño 1+2;TSM Niño 3;TSM Niño 3.4;TSM Niño 4;TSM CBM;TSM TNA;TSM TSA
01-11-1981;21.1;26.8;25.99;27.08;15.43;26.78;24.0
01-12-1981;22.45;27.49;26.2;27.24;17.36;25.96;24.66
01-01-1982;24.01;27.09;26.68;27.37;19.07;24.81;25.39
01-02-1982;25.13;26.95;26.67;27.63;19.72;23.98;26.22
01-03-1982;24.71;26.77;27.18;27.98;20.39;23.97;26.75
01-04-1982;23.97;26.92;28.0;28.3;18.67;24.17;26.39
01-05-1982;23.54;27.15;28.51;28.15;16.72;24.9;25.46
01-06-1982;22.56;27.1;28.71;27.46;14.42;25.62;24.31
01-07-1982;22.24;26.81;28.04;26.71;12.21;26.09;23.12
01-08-1982;21.49;26.7;27.87;26.51;11.82;26.58;22.14
01-09-1982;21.5;26.72;28.05;26.8;12.37;26.96;22.4
01-10-1982;22.78;26.52;28.59;27.25;13.25;26.91;22.96
01-11-1982;24.52;26.69;28.77;27.64;14.32;26.25;23.49
01-12-1982;26.08;27.0;29.2;28.01;16.84;25.05;24.33
01-01-1983;27.36;27.42;29.36;28.12;20.25;24.22;25.69
01-02-1983;28.02;27.51;29.13;28.35;20.46;24.18;26.64
01-03-1983;28.58;27.64;29.04;28.71;19.41;24.68;26.8
01-04-1983;28.53;28.0;28.92;28.97;17.67;24.97;26.5
01-05-1983;28.17;28.06;28.9;28.69;15.68;25.21;25.43
01-06-1983;27.41;27.79;28.23;28.02;13.13;25.95;24.13
01-07-1983;25.88;27.07;27.01;27.21;11.63;26.28;23.08
01-08-1983;23.6;26.98;26.49;26.83;11.48;26.65;22.64
01-09-1983;22.14;26.82;26.4;26.73;12.17;27.03;22.71
01-10-1983;21.76;26.86;25.82;26.81;13.19;27.05;22.94
01-11-1983;21.78;27.11;25.51;26.9;15.94;26.74;23.8
01-12-1983;22.87;27.25;25.52;27.07;18.36;25.9;24.83
01-01-1984;23.99;27.32;25.59;27.17;20.65;24.56;25.95
01-02-1984;24.94;27.21;26.38;27.51;20.99;23.96;26.96
01-03-1984;25.62;27.12;26.87;28.09;20.15;23.85;27.52
01-04-1984;24.76;27.02;27.4;28.33;17.76;24.22;27.21
01-05-1984;22.84;27.21;27.37;27.85;15.21;24.83;26.25
01-06-1984;21.73;27.22;26.8;27.16;12.81;25.34;25.21
01-07-1984;21.05;27.2;26.67;26.68;11.56;25.84;23.97
01-08-1984;20.06;26.84;26.28;26.41;10.77;26.42;23.59
01-09-1984;20.24;27.05;26.34;26.57;11.87;26.89;23.57
01-10-1984;20.43;27.2;25.84;26.74;13.86;26.81;23.7
01-11-1984;21.33;27.18;25.33;26.94;15.45;26.18;24.13
01-12-1984;22.41;27.27;24.93;26.85;16.93;25.17;24.83
01-01-1985;23.32;27.02;25.37;27.08;18.58;24.19;25.79
01-02-1985;24.6;26.6;25.62;27.35;20.17;23.73;26.79
01-03-1985;25.38;26.6;26.2;27.74;19.61;23.42;27.01
01-04-1985;23.71;26.84;26.78;28.13;17.38;23.7;26.85
01-05-1985;21.84;27.0;27.08;27.84;15.25;24.1;26.05
01-06-1985;21.54;27.13;26.83;27.11;12.99;25.48;24.68
01-07-1985;20.23;26.9;26.63;26.56;12.43;26.16;23.66
01-08-1985;19.12;26.76;26.44;26.29;12.39;26.71;23.03
01-09-1985;19.33;26.9;26.17;26.39;13.11;27.11;22.88
01-10-1985;19.81;27.04;26.11;26.69;14.43;27.07;23.38
01-11-1985;20.56;27.09;26.11;26.96;16.25;26.63;24.05
01-12-1985;22.28;27.06;26.02;27.03;18.47;25.39;24.69
01-01-1986;24.47;27.05;25.71;27.1;20.2;23.97;25.52
01-02-1986;25.72;26.91;25.9;27.55;20.66;23.49;26.75
01-03-1986;25.31;26.79;26.64;27.96;19.12;23.44;27.21
01-04-1986;24.04;26.85;27.43;28.26;17.72;23.74;27.02
01-05-1986;22.96;27.11;27.47;27.96;15.1;24.34;26.22
01-06-1986;21.66;26.91;27.65;27.38;13.35;25.11;25.03
01-07-1986;20.92;26.79;27.31;26.72;12.72;25.85;23.67
01-08-1986;20.8;26.74;27.07;26.4;11.54;26.45;23.08
01-09-1986;20.29;26.91;27.25;26.6;12.63;27.12;23.04
01-10-1986;20.92;26.9;27.49;26.96;13.41;26.98;23.25
01-11-1986;21.91;27.11;27.66;27.27;15.16;26.26;23.71
01-12-1986;22.91;27.14;27.62;27.35;17.66;24.85;24.55
01-01-1987;25.17;27.1;27.86;27.53;19.89;24.19;25.39
01-02-1987;27.01;27.06;27.98;27.79;21.0;23.89;26.38
01-03-1987;27.84;27.16;28.45;28.46;19.84;24.33;26.92
01-04-1987;26.93;27.34;28.78;28.76;17.76;24.8;26.9
01-05-1987;25.24;27.57;28.73;28.58;15.27;25.37;26.21
01-06-1987;23.8;27.99;28.99;28.03;13.19;26.35;25.01
01-07-1987;22.57;27.61;28.75;27.35;12.47;26.65;23.88
01-08-1987;21.52;27.5;28.52;27.05;12.29;27.26;23.1
